Number of call,Response Time
1,20
2,15
3,17
4,23
5,4
6,7
7,4
8,5
9,6
10,4
11,4
12,3
13,6
14,3
15,4
16,3
17,5
18,4
19,5
20,4
21,5
22,4
23,3
24,4
25,6
26,3
27,4
28,2
29,6
30,4
31,2
32,12
33,3
34,4
35,3
36,7
37,3
38,3
39,2
40,4
41,6
42,3
43,3
44,3
45,5
46,3
47,4
48,2
49,4
50,6
51,3
52,3
53,3
54,6
55,2
56,4
57,2
58,3
59,7
60,3
61,3
62,2
63,8
64,3
65,3
66,3
67,3
68,5
69,2
70,4
71,15
72,6
73,6
74,4
75,4
76,8
77,3
78,3
79,3
80,3
81,6
82,3
83,4
84,4
85,5
86,3
87,2
88,4
89,6
90,2
91,3
92,3
93,2
94,4
95,5
96,3
97,3
98,3
99,6
100,3
